suburb,point
Loop,"41.881,-87.6241"
Hyde Park,"41.7996,-87.5948"
,"41.8994,-87.6485"
,"41.9465,-87.6834"
Loop,"41.886,-87.6309"
Lake View,"41.9408,-87.6392"
Loop,"41.8827,-87.6325"
Near North Side,"41.8949,-87.6323"
West Town,"41.9013,-87.6774"
Near North Side,"41.8967,-87.6357"
West Town,"41.9071,-87.6672"
Near North Side,"41.891,-87.6355"
,"41.9017,-87.6281"
Lincoln Park,"41.9117,-87.6268"
Lincoln Park,"41.9324,-87.6527"
Near West Side,"41.8793,-87.6399"
Near West Side,"41.8777,-87.6548"
Near North Side,"41.8977,-87.6235"
Near West Side,"41.8833,-87.6411"
Uptown,"41.968,-87.65"
,"41.8891,-87.6385"
Lincoln Park,"41.9121,-87.6347"
,"42.0636,-87.6987"
Lincoln Park,"41.9183,-87.6362"
,"41.8923,-87.612"
Lincoln Park,"41.9032,-87.6343"
Near South Side,"41.8563,-87.6134"
West Town,"41.9077,-87.6726"
Loop,"41.8751,-87.6328"
Near North Side,"41.8943,-87.6231"
Lincoln Park,"41.9263,-87.6308"
Near North Side,"41.8909,-87.6322"
Armour Square,"41.8531,-87.6319"
Near South Side,"41.8576,-87.6194"
,"41.8892,-87.6278"
Near West Side,"41.8696,-87.6736"
Loop,"41.8764,-87.6242"
Near South Side,"41.8643,-87.624"
Lake View,"41.9482,-87.6639"
Lincoln Park,"41.9288,-87.6639"
Near South Side,"41.8457,-87.6225"
,"41.8892,-87.6278"
Loop,"41.881,-87.6241"
,"41.8892,-87.6385"
Douglas,"41.8421,-87.617"
Armour Square,"41.8531,-87.6319"
Near North Side,"41.8986,-87.6219"
,"41.8899,-87.6343"
Near North Side,"41.8986,-87.6219"
Logan Square,"41.9175,-87.7018"
Lake View,"41.9433,-87.671"
,"41.8915,-87.6268"
Lincoln Park,"41.9215,-87.6538"
,"41.8899,-87.6343"
Rogers Park,"42.001,-87.6612"
Loop,"41.8777,-87.6353"
Near West Side,"41.8783,-87.6439"
Hyde Park,"41.7915,-87.5999"
Loop,"41.8847,-87.6195"
,"41.895,-87.6178"
,"41.901,-87.6238"
Lake View,"41.9495,-87.6465"
Loop,"41.8777,-87.6353"
Lincoln Park,"41.9256,-87.6584"
,"41.8923,-87.612"
Lake View,"41.9408,-87.6392"
Lincoln Park,"41.9184,-87.6363"
Loop,"41.8847,-87.6195"
Uptown,"41.9585,-87.655"
Loop,"41.881,-87.6241"
Lincoln Park,"41.9259,-87.6493"
Near West Side,"41.8649,-87.6471"
Lake View,"41.9491,-87.6486"
Lake View,"41.9326,-87.6659"
West Town,"41.8887,-87.6445"
Grand Boulevard,"41.803,-87.6066"
,"41.9097,-87.6481"
Near North Side,"41.9003,-87.643"
West Town,"41.8916,-87.6484"
,"41.8947,-87.6344"
Lake View,"41.9367,-87.6368"
Lincoln Park,"41.9117,-87.6268"
Lake View,"41.9331,-87.6478"
Lincoln Park,"41.9258,-87.6584"
Loop,"41.884,-87.6247"
Edgewater,"41.984,-87.6523"
Loop,"41.8868,-87.6223"
Lincoln Park,"41.9157,-87.6346"
Lincoln Park,"41.9199,-87.6488"
Lincoln Park,"41.9117,-87.6268"
Uptown,"41.9579,-87.6495"
Near West Side,"41.8837,-87.6487"
Lake View,"41.9365,-87.6475"
Lincoln Park,"41.912,-87.6347"
Loop,"41.8728,-87.624"
Lincoln Park,"41.9218,-87.6441"
Lower West Side,"41.8551,-87.6541"
Lincoln Park,"41.9199,-87.6488"
Near South Side,"41.8563,-87.6134"
Lake View,"41.9455,-87.6464"
Near West Side,"41.8673,-87.6486"
,"41.8982,-87.6375"
West Town,"41.9077,-87.6726"
Near North Side,"41.8908,-87.6315"
Lake View,"41.9542,-87.6544"
Lake View,"41.9331,-87.6478"
Near West Side,"41.8866,-87.658"
Near West Side,"41.8837,-87.6487"
Rogers Park,"42.001,-87.6612"
Loop,"41.8827,-87.6325"
Near South Side,"41.8661,-87.6073"
Lake View,"41.9365,-87.6475"
Lincoln Park,"41.9199,-87.6488"
Near North Side,"41.894,-87.6236"
Loop,"41.8726,-87.6335"
Near North Side,"41.9035,-87.6434"
Lake View,"41.9376,-87.6441"
West Town,"41.8964,-87.661"
Loop,"41.8763,-87.6292"
Lake View,"41.9491,-87.6545"
,"41.9487,-87.6752"
Near North Side,"41.8986,-87.6219"
Uptown,"41.9579,-87.6495"
West Town,"41.8918,-87.6589"
Loop,"41.881,-87.6241"
Lincoln Park,"41.9239,-87.6358"
Loop,"41.8842,-87.6296"
Hyde Park,"41.7993,-87.601"
Lake View,"41.9507,-87.6687"
Logan Square,"41.9225,-87.697"
Near South Side,"41.8576,-87.6194"
West Town,"41.8996,-87.6677"
Uptown,"41.9734,-87.6678"
Lincoln Park,"41.9183,-87.6363"
,"41.908,-87.6315"
,"41.8945,-87.6178"
Loop,"41.8675,-87.6321"
Lake View,"41.9494,-87.6545"
,"41.89,-87.6366"
Near South Side,"41.8641,-87.6237"
Douglas,"41.8386,-87.6082"
Loop,"41.8709,-87.626"
Lake View,"41.9445,-87.6547"
Kenwood,"41.8098,-87.5994"
Edgewater,"41.984,-87.6523"
Hyde Park,"41.7995,-87.5864"
Lincoln Park,"41.9324,-87.6527"
Loop,"41.88,-87.6315"
Hyde Park,"41.7943,-87.6014"
Lincoln Park,"41.9259,-87.639"
Lower West Side,"41.8581,-87.6511"
Lake View,"41.9455,-87.6464"
,"41.89,-87.6366"
Lincoln Park,"41.9032,-87.6343"
,"41.8994,-87.6485"
Lincoln Park,"41.9263,-87.6308"
,"41.8999,-87.6344"
Near North Side,"41.9035,-87.6435"
,"41.9097,-87.6481"
Lower West Side,"41.858,-87.6408"
Loop,"41.8721,-87.6296"
Lincoln Park,"41.9032,-87.6343"
Lincoln Park,"41.9259,-87.6493"
Uptown,"41.9585,-87.655"
Loop,"41.8759,-87.6306"
Avondale,"41.9384,-87.6979"
Woodlawn,"41.7851,-87.6011"
Near South Side,"41.8653,-87.6179"
Lake View,"41.9455,-87.6463"
Loop,"41.886,-87.6309"
Loop,"41.8794,-87.6355"
Lincoln Park,"41.9313,-87.6387"
Lake View,"41.9367,-87.6368"
Loop,"41.8777,-87.6353"
West Town,"41.9033,-87.6784"
,"41.8969,-87.6217"
Near South Side,"41.8604,-87.6258"
Lake View,"41.9455,-87.6464"
Uptown,"41.961,-87.6496"
,"41.9069,-87.6262"
Lincoln Park,"41.9218,-87.6441"
,"41.8947,-87.6344"
West Town,"41.9033,-87.6784"
Lincoln Park,"41.9182,-87.6569"
Loop,"41.881,-87.6241"
Hyde Park,"41.7996,-87.5948"
,"42.0482,-87.6835"
Near North Side,"41.8975,-87.6429"
Loop,"41.8728,-87.624"
Loop,"41.881,-87.6241"
,"41.8947,-87.6344"
Lincoln Park,"41.9263,-87.6308"
Lincoln Park,"41.9183,-87.6363"
Loop,"41.887,-87.6128"
West Town,"41.9013,-87.6774"
,"41.9097,-87.6481"
Near West Side,"41.8815,-87.675"
Lake View,"41.9402,-87.653"
Loop,"41.8858,-87.6218"
Lake View,"41.9561,-87.6688"
Near West Side,"41.8831,-87.657"
Near West Side,"41.8819,-87.6488"
Lincoln Park,"41.9256,-87.6537"
West Town,"41.9031,-87.6739"
Lower West Side,"41.8582,-87.6565"
,"41.8906,-87.6221"
Near South Side,"41.8641,-87.6237"
Loop,"41.8847,-87.6195"
Uptown,"41.9658,-87.6454"
Lincoln Park,"41.9123,-87.6348"
,"41.8999,-87.6344"
East Garfield Park,"41.8846,-87.7063"
Lincoln Park,"41.9032,-87.6343"
Near North Side,"41.8977,-87.6235"
Loop,"41.886,-87.6241"
Lincoln Park,"41.9326,-87.6364"
,"41.8943,-87.6228"
,"41.8923,-87.612"
Near West Side,"41.8859,-87.6672"
West Town,"41.9029,-87.6873"
West Town,"41.9032,-87.674"
,"42.0529,-87.6734"
,"41.8968,-87.6309"
Logan Square,"41.9201,-87.6779"
Armour Square,"41.8385,-87.6354"
Lincoln Park,"41.9312,-87.6443"
Near South Side,"41.8661,-87.6073"
Lincoln Park,"41.9138,-87.6529"
West Town,"41.9126,-87.6814"
Lincoln Park,"41.9157,-87.6346"
Loop,"41.881,-87.6167"
Edgewater,"41.9897,-87.6601"
West Town,"41.9013,-87.6774"
Edgewater,"41.984,-87.6522"
Lincoln Square,"41.9657,-87.6937"
Loop,"41.8847,-87.6277"
West Town,"41.8887,-87.6445"
Uptown,"41.9617,-87.6546"
Loop,"41.881,-87.6167"
Loop,"41.8679,-87.623"
Loop,"41.881,-87.6241"
Lower West Side,"41.8582,-87.6565"
West Town,"41.9105,-87.6824"
Loop,"41.8852,-87.6281"
Near West Side,"41.8777,-87.6548"
Near South Side,"41.8672,-87.626"
Lincoln Park,"41.9263,-87.6308"
Lincoln Park,"41.9114,-87.6387"
West Town,"41.9034,-87.6678"
,"41.8906,-87.6313"
Hyde Park,"41.7996,-87.5948"
Lake View,"41.9482,-87.6639"
Loop,"41.8721,-87.6296"
West Town,"41.9034,-87.6678"
Lake View,"41.9363,-87.6527"
Near West Side,"41.8837,-87.6487"
Hyde Park,"41.7932,-87.5878"
Hyde Park,"41.8026,-87.5904"
Uptown,"41.9579,-87.6495"
Loop,"41.8782,-87.635"
Near West Side,"41.8777,-87.6548"
West Town,"41.9034,-87.6678"
Loop,"41.8763,-87.6292"
Uptown,"41.9738,-87.6597"
Loop,"41.8858,-87.6355"
West Town,"41.903,-87.6975"
Near North Side,"41.8918,-87.6206"
Lincoln Park,"41.9289,-87.659"
Lincoln Park,"41.9114,-87.6387"
Near West Side,"41.8695,-87.6555"
,"41.8915,-87.6268"
,"41.9406,-87.6786"
Near West Side,"41.8772,-87.6394"
,"41.9067,-87.6348"
,"41.89,-87.6366"
Near North Side,"41.894,-87.6415"
Near North Side,"41.8902,-87.6262"
Loop,"41.8908,-87.6186"
,"41.8893,-87.6385"
West Town,"41.9094,-87.6777"
Loop,"41.881,-87.6167"
Near West Side,"41.8688,-87.6591"
Lincoln Square,"41.9671,-87.679"
Lake View,"41.9401,-87.6455"
West Town,"41.9094,-87.6777"
Lake View,"41.9357,-87.6636"
Lincoln Park,"41.9263,-87.6308"
West Town,"41.8946,-87.6532"
Loop,"41.8783,-87.6334"
Lake View,"41.9494,-87.6545"
Lincoln Park,"41.9322,-87.6586"
Lincoln Park,"41.912,-87.6319"
Douglas,"41.8349,-87.6179"
West Town,"41.9031,-87.6739"
Lower West Side,"41.8579,-87.6688"
Douglas,"41.8347,-87.6258"
Lincoln Park,"41.9312,-87.6442"
Loop,"41.8813,-87.6295"
Hyde Park,"41.7932,-87.5878"
Near North Side,"41.894,-87.6293"
Lincoln Park,"41.9324,-87.6527"
Near North Side,"41.8947,-87.6384"
Loop,"41.881,-87.6167"
Lake View,"41.9396,-87.6589"
Lincoln Park,"41.9218,-87.6441"
Lincoln Park,"41.9183,-87.6363"
Lincoln Park,"41.9325,-87.6364"
Near West Side,"41.8818,-87.6413"
Near North Side,"41.8958,-87.6259"
Uptown,"41.9658,-87.6454"
Loop,"41.8847,-87.6195"
Lincoln Park,"41.9106,-87.6531"
West Town,"41.8946,-87.6535"
Near South Side,"41.8604,-87.6258"
Lake View,"41.9395,-87.6637"
West Town,"41.9034,-87.6678"
Loop,"41.8794,-87.6298"
West Town,"41.8913,-87.6768"
Loop,"41.8803,-87.6352"
Lincoln Park,"41.9218,-87.6441"
Near North Side,"41.891,-87.6356"
,"41.8892,-87.6384"
Loop,"41.8866,-87.6221"
Loop,"41.8728,-87.624"
West Ridge,"41.9942,-87.6895"
Near West Side,"41.8717,-87.651"
Douglas,"41.8347,-87.6258"
Loop,"41.8811,-87.6168"
,"41.903,-87.6313"
Near South Side,"41.8643,-87.6237"
Near West Side,"41.8713,-87.6737"
Bridgeport,"41.8378,-87.6511"
New City,"41.8382,-87.6451"
,"41.9046,-87.6406"
Loop,"41.8706,-87.6257"
Uptown,"41.9688,-87.6577"
Hyde Park,"41.7996,-87.5948"
Near West Side,"41.8746,-87.657"
Near North Side,"41.8938,-87.6417"
Lincoln Park,"41.9263,-87.6308"
Loop,"41.8842,-87.6296"
Woodlawn,"41.7851,-87.6011"
Near West Side,"41.8777,-87.6548"
Lake View,"41.9331,-87.6478"
Loop,"41.881,-87.6241"
Lake View,"41.9402,-87.653"
Lincoln Park,"41.9183,-87.6363"
Lincoln Park,"41.9102,-87.6435"
Loop,"41.8765,-87.6205"
Lake View,"41.9365,-87.6475"
Loop,"41.8821,-87.6251"
Lincoln Park,"41.9182,-87.6569"
Near West Side,"41.8793,-87.6399"
Woodlawn,"41.7851,-87.6011"
,"41.9027,-87.6316"
,"41.8952,-87.6188"
Near North Side,"41.8977,-87.6235"
,"41.89,-87.6366"
,"41.8958,-87.6201"
Woodlawn,"41.7851,-87.6011"
Lincoln Park,"41.9114,-87.6387"
Lake View,"41.9455,-87.6464"
,"42.0582,-87.6774"
Lake View,"41.9494,-87.6545"
Loop,"41.8795,-87.6257"
Grand Boulevard,"41.8099,-87.6163"
Near West Side,"41.8822,-87.6411"
Loop,"41.8827,-87.6325"
Edgewater,"41.9784,-87.6598"
Lincoln Park,"41.9114,-87.6387"
Lake View,"41.9437,-87.649"
Loop,"41.881,-87.6241"
Lake View,"41.9542,-87.6544"
Lincoln Park,"41.9183,-87.6363"
,"41.901,-87.6238"
West Town,"41.8984,-87.6866"
Douglas,"41.831,-87.6269"
Near North Side,"41.8938,-87.6417"
Lincoln Park,"41.9139,-87.6488"
,"41.8926,-87.6145"
West Town,"41.9126,-87.6814"
Near West Side,"41.8783,-87.6439"
Loop,"41.8802,-87.6353"
Loop,"41.8845,-87.6194"
Loop,"41.8831,-87.6373"
Lake View,"41.9396,-87.6589"
McKinley Park,"41.8288,-87.6806"
Lincoln Park,"41.9253,-87.6658"
,"41.8926,-87.6145"
Loop,"41.8803,-87.6352"
,"41.8915,-87.6268"
Englewood,"41.7931,-87.645"
Near North Side,"41.8942,-87.6293"
Loop,"41.8868,-87.6223"
Near West Side,"41.8781,-87.6442"
Lake View,"41.9544,-87.648"
Loop,"41.8821,-87.6251"
West Town,"41.896,-87.6678"
Near South Side,"41.8526,-87.6265"
Hyde Park,"41.7915,-87.5999"
Near West Side,"41.8783,-87.6439"
Lake View,"41.9402,-87.653"
Near North Side,"41.9035,-87.6433"
,"41.8945,-87.6178"
Lincoln Park,"41.9183,-87.6363"
Loop,"41.8726,-87.6335"
,"41.8882,-87.6364"
Lincoln Park,"41.9292,-87.6492"
Edgewater,"41.9836,-87.6692"
Lincoln Park,"41.9258,-87.6585"
Lake View,"41.9547,-87.6739"
Loop,"41.8865,-87.6219"
Lincoln Park,"41.9147,-87.6433"
Near North Side,"41.8958,-87.6259"
Hyde Park,"41.7996,-87.5948"
Rogers Park,"42.008,-87.6655"
Lake View,"41.9397,-87.6589"
,"41.8892,-87.6387"
Near West Side,"41.8746,-87.657"
West Town,"41.8984,-87.6866"
Lake View,"41.9542,-87.6544"
,"41.8958,-87.6201"
Near West Side,"41.8828,-87.6612"
Lincoln Park,"41.9218,-87.6441"
West Town,"41.8887,-87.6445"
Lincoln Park,"41.9312,-87.6442"
,"41.8892,-87.6385"
Near West Side,"41.8746,-87.657"
Near South Side,"41.8641,-87.6237"
Loop,"41.881,-87.6167"
Lake View,"41.9433,-87.671"
,"41.8915,-87.6268"
,"41.8882,-87.6364"
,"41.908,-87.6315"
Near North Side,"41.8977,-87.6235"
Hyde Park,"41.7943,-87.6014"
Lincoln Square,"41.969,-87.696"
Loop,"41.8868,-87.6223"
,"41.908,-87.6315"
Loop,"41.8721,-87.6296"
Lake View,"41.9395,-87.6637"
Lake View,"41.9446,-87.6547"
Near West Side,"41.8846,-87.6446"
West Town,"41.9094,-87.6777"
Lincoln Park,"41.9218,-87.644"
Near West Side,"41.8822,-87.6411"
West Town,"41.8918,-87.6589"
,"41.9095,-87.6481"
Hyde Park,"41.7915,-87.5999"
Near North Side,"41.896,-87.6261"
Near North Side,"41.8958,-87.6259"
Hyde Park,"41.7996,-87.5948"
Near South Side,"41.8641,-87.6237"
Lower West Side,"41.8541,-87.6859"
Lincoln Park,"41.9032,-87.6343"
Lincoln Park,"41.9296,-87.6431"
Near West Side,"41.8776,-87.6496"
Near West Side,"41.8804,-87.6427"
Lincoln Park,"41.912,-87.6348"
Near North Side,"41.8967,-87.6357"
Lincoln Square,"41.9799,-87.6819"
Loop,"41.8845,-87.6194"
Lake View,"41.9482,-87.6639"
Near North Side,"41.8902,-87.6262"
West Town,"41.8911,-87.6666"
Near West Side,"41.8817,-87.6395"
Loop,"41.886,-87.6309"
Near North Side,"41.894,-87.6293"
,"41.899,-87.6299"
Near West Side,"41.8693,-87.6737"
Near West Side,"41.882,-87.6414"
Lincoln Park,"41.9324,-87.6527"
Near West Side,"41.8783,-87.6439"
Loop,"41.8728,-87.624"
Near West Side,"41.873,-87.6691"
Loop,"41.884,-87.6247"
,"41.89,-87.6366"
Loop,"41.8869,-87.6128"
,"41.8945,-87.6178"
Near North Side,"41.8902,-87.6262"
Woodlawn,"41.7851,-87.6011"
,"41.9046,-87.6406"
Loop,"41.8827,-87.6325"
Lake View,"41.9408,-87.6392"
Lincoln Park,"41.903,-87.6345"
Lincoln Park,"41.9032,-87.6343"
Near South Side,"41.8672,-87.626"
Loop,"41.881,-87.6241"
Near South Side,"41.8641,-87.6237"
,"41.8915,-87.6268"
West Town,"41.8918,-87.6588"
Loop,"41.886,-87.6309"
West Town,"41.8916,-87.6484"
Near West Side,"41.8746,-87.6864"
West Town,"41.9105,-87.6824"
,"41.8947,-87.6344"
Loop,"41.887,-87.6128"
Loop,"41.8858,-87.6311"
Hyde Park,"41.7996,-87.5948"
Near West Side,"41.8819,-87.6488"
Loop,"41.8837,-87.6317"
Loop,"41.8721,-87.6296"
Lincoln Park,"41.9032,-87.6343"
,"41.8974,-87.6287"
Lincoln Park,"41.9199,-87.6488"
,"41.8968,-87.6309"
Lake View,"41.9495,-87.6465"
Hyde Park,"41.7932,-87.5878"
,"41.903,-87.6313"
Near West Side,"41.8649,-87.6471"
Loop,"41.8813,-87.6295"
Lincoln Square,"41.9749,-87.6925"
,"41.8945,-87.6178"
Uptown,"41.9671,-87.6674"
Near West Side,"41.8817,-87.6395"
West Town,"41.8956,-87.6721"
Near West Side,"41.8777,-87.6548"
Edgewater,"41.984,-87.6603"
Near North Side,"41.8947,-87.6384"
Loop,"41.8796,-87.6296"
,"41.907,-87.626"
Loop,"41.8679,-87.623"
Uptown,"41.9652,-87.6581"
Near West Side,"41.8856,-87.6418"
Near West Side,"41.8855,-87.6523"
Near North Side,"41.8947,-87.6384"
Lake View,"41.9542,-87.6544"
Near West Side,"41.873,-87.6691"
Loop,"41.8803,-87.6352"
Near West Side,"41.8651,-87.657"
Near West Side,"41.8832,-87.6511"
Loop,"41.8793,-87.632"
Loop,"41.8708,-87.6312"
,"41.8969,-87.6217"
West Town,"41.9071,-87.6672"
,"41.8923,-87.612"
Loop,"41.886,-87.6241"
Lincoln Park,"41.9312,-87.6443"
Near North Side,"41.8938,-87.6417"
,"41.8968,-87.6309"
,"41.8899,-87.6343"
,"41.9046,-87.6406"
,"41.8923,-87.612"
Uptown,"41.9579,-87.6495"
Near South Side,"41.8604,-87.6258"
Lake View,"41.9363,-87.6527"
Lower West Side,"41.8576,-87.6615"
Near West Side,"41.8713,-87.6737"
Hyde Park,"41.8026,-87.5904"
Loop,"41.8846,-87.6319"
Hyde Park,"41.7887,-87.6013"
Hyde Park,"41.7943,-87.6014"
Near North Side,"41.891,-87.6355"
,"41.9028,-87.6316"
,"41.8899,-87.6343"
Near West Side,"41.873,-87.6691"
Loop,"41.8721,-87.6296"
,"41.901,-87.6238"
,"41.8968,-87.6309"
Armour Square,"41.8385,-87.6354"
,"41.8967,-87.6307"
,"41.956,-87.6802"
Lincoln Park,"41.9253,-87.6658"
Near North Side,"41.8938,-87.6417"
Near West Side,"41.8817,-87.6395"
Loop,"41.8842,-87.6296"
Near West Side,"41.8718,-87.6466"
Loop,"41.8846,-87.6319"
Lincoln Park,"41.9287,-87.6538"
Lake View,"41.9445,-87.6547"
Edgewater,"41.9784,-87.6598"
Loop,"41.8777,-87.6353"
Lincoln Park,"41.9263,-87.6308"
Near West Side,"41.8713,-87.6737"
,"41.8892,-87.6278"
Lincoln Park,"41.9239,-87.6358"
Near South Side,"41.8563,-87.6134"
Logan Square,"41.9162,-87.6691"
Logan Square,"41.9306,-87.7238"
Douglas,"41.8347,-87.6258"
Logan Square,"41.9142,-87.7168"
Lincoln Square,"41.9665,-87.6884"
Lincoln Park,"41.9105,-87.6531"
Near South Side,"41.8672,-87.6154"
Near West Side,"41.8855,-87.6523"
Loop,"41.8793,-87.632"
Lincoln Square,"41.9691,-87.6742"
Loop,"41.8869,-87.6128"
,"41.8974,-87.6287"
Lincoln Park,"41.9291,-87.6491"
Near South Side,"41.8578,-87.6246"
Hyde Park,"41.7953,-87.581"
,"41.9434,-87.6796"
Armour Square,"41.8385,-87.6354"
,"41.9013,-87.6237"
Hyde Park,"41.7943,-87.6014"
Lake View,"41.9437,-87.649"
Lake View,"41.9437,-87.664"
Near West Side,"41.8834,-87.6412"
Hyde Park,"41.7932,-87.5878"
Lincoln Square,"41.9665,-87.6886"
Logan Square,"41.916,-87.6773"
,"41.903,-87.6313"
Loop,"41.8777,-87.6353"
Lincoln Park,"41.912,-87.6321"
Loop,"41.881,-87.6167"
Near West Side,"41.8819,-87.6488"
Lincoln Park,"41.9139,-87.6488"
Near North Side,"41.894,-87.6293"
,"41.8926,-87.6145"
,"41.901,-87.6238"
Lincoln Park,"41.9121,-87.6347"
,"41.9097,-87.6481"
Lincoln Park,"41.9312,-87.6443"
Lake View,"41.9326,-87.6659"
Lincoln Park,"41.9139,-87.6488"
Lake View,"41.9455,-87.6464"
Lincoln Park,"41.9106,-87.6531"
Near South Side,"41.8641,-87.6237"
Near North Side,"41.8918,-87.6206"
Loop,"41.8759,-87.6306"
,"41.8923,-87.612"
,"41.899,-87.6299"
,"41.8942,-87.6228"
Douglas,"41.8386,-87.6082"
,"41.8923,-87.612"
West Town,"41.9034,-87.6678"
Lincoln Park,"41.9157,-87.6346"
West Town,"41.9029,-87.6873"
Lake View,"41.9402,-87.653"
Uptown,"41.9585,-87.655"
Uptown,"41.9585,-87.655"
Lake View,"41.9455,-87.6464"
Loop,"41.8796,-87.6362"
Loop,"41.8764,-87.6204"
Lincoln Park,"41.9033,-87.6347"
Near North Side,"41.8942,-87.6226"
Lincoln Park,"41.9319,-87.6779"
Lincoln Park,"41.9114,-87.6387"
,"41.903,-87.6313"
West Town,"41.8958,-87.6772"
West Town,"41.9078,-87.6858"
Uptown,"41.9652,-87.6581"
,"41.89,-87.6366"
Rogers Park,"42.001,-87.6612"
Near South Side,"41.8604,-87.6258"
West Town,"41.9126,-87.6814"
,"41.8906,-87.6221"
Lincoln Park,"41.9322,-87.6586"
Logan Square,"41.916,-87.6773"
Uptown,"41.9737,-87.6598"
Loop,"41.8726,-87.6335"
West Town,"41.9029,-87.6873"
Logan Square,"41.9201,-87.6779"
Logan Square,"41.9178,-87.6824"
Loop,"41.881,-87.6167"
West Town,"41.8887,-87.6445"
Near West Side,"41.8695,-87.6555"
Lincoln Park,"41.9312,-87.6443"
Near South Side,"41.8661,-87.6073"
Loop,"41.881,-87.6167"
,"41.8892,-87.6278"
Lincoln Park,"41.9181,-87.6437"
Loop,"41.887,-87.6128"
Lincoln Park,"41.9157,-87.6346"
,"41.9067,-87.6348"
Loop,"41.8813,-87.6295"
West Town,"41.9126,-87.6814"
Lake View,"41.9445,-87.6547"
Near South Side,"41.8563,-87.6134"
,"41.8923,-87.612"
,"41.9023,-87.6277"
Lake View,"41.9376,-87.6441"
Lake View,"41.9367,-87.6368"
Hyde Park,"41.7993,-87.601"
Near North Side,"41.8942,-87.6292"
Lincoln Park,"41.9324,-87.6527"
West Town,"41.9034,-87.6678"
Rogers Park,"42.001,-87.6612"
Lake View,"41.9437,-87.649"
Lincoln Park,"41.912,-87.6319"
Near North Side,"41.8894,-87.6386"
Uptown,"41.9617,-87.6546"
Lake View,"41.9357,-87.6636"
Near South Side,"41.8526,-87.6265"
Logan Square,"41.9241,-87.6765"
Logan Square,"41.9296,-87.7079"
,"41.9106,-87.6494"
Lake View,"41.9507,-87.6687"
Lincoln Square,"41.9671,-87.679"
Lower West Side,"41.8582,-87.6565"
Near West Side,"41.8651,-87.657"
Lake View,"41.9331,-87.6478"
Lake View,"41.9365,-87.6475"
Lincoln Park,"41.9291,-87.6491"
Uptown,"41.961,-87.6495"
Lake View,"41.9508,-87.6592"
Near North Side,"41.9003,-87.643"
Near West Side,"41.8776,-87.6496"
Near West Side,"41.8846,-87.6446"
,"41.8945,-87.6178"
Loop,"41.8847,-87.6195"
Near West Side,"41.8859,-87.677"
Rogers Park,"42.001,-87.6612"
Lincoln Park,"41.9268,-87.6344"
Loop,"41.881,-87.6241"
,"41.9106,-87.6494"
Douglas,"41.8347,-87.6258"
,"41.908,-87.6315"
,"41.8943,-87.6228"
West Town,"41.8964,-87.6541"
Uptown,"41.9617,-87.6546"
Lincoln Park,"41.9215,-87.6538"
Lincoln Park,"41.9319,-87.6779"
Near South Side,"41.8672,-87.6154"
,"41.8947,-87.6344"
Lincoln Park,"41.9219,-87.6538"
Loop,"41.8708,-87.6257"
,"41.8947,-87.6344"
Loop,"41.8869,-87.626"
Loop,"41.8794,-87.6355"
Lincoln Park,"41.9239,-87.6358"
,"41.9076,-87.6386"
Lincoln Park,"41.9218,-87.6441"
Near West Side,"41.873,-87.6691"
,"41.8968,-87.6309"
Loop,"41.8842,-87.6296"
Near West Side,"41.8772,-87.6394"
Lincoln Park,"41.9117,-87.6268"
Lake View,"41.9394,-87.6682"
Lincoln Park,"41.9218,-87.6441"
Lincoln Park,"41.9215,-87.6538"
,"42.0482,-87.6835"
Near West Side,"41.8856,-87.6525"
Lake View,"41.9363,-87.6527"
Logan Square,"41.916,-87.6689"
Uptown,"41.9733,-87.6679"
Loop,"41.887,-87.6128"
,"41.9543,-87.6861"
,"41.9067,-87.6348"
Rogers Park,"42.0046,-87.6614"
Lake View,"41.9495,-87.6465"
Near South Side,"41.8672,-87.626"
Lincoln Park,"41.9256,-87.6584"
Near West Side,"41.8778,-87.6548"
Lake View,"41.9437,-87.664"
Lincoln Square,"41.9691,-87.6742"
Loop,"41.8842,-87.6296"
,"41.8882,-87.6364"
Lincoln Park,"41.912,-87.6319"
Logan Square,"41.9177,-87.6824"
South Lawndale,"41.8538,-87.6957"
,"41.9069,-87.6262"
Lincoln Park,"41.9322,-87.6585"
Hyde Park,"41.7917,-87.5839"
West Town,"41.8964,-87.661"
Lake View,"41.9437,-87.664"
Lake View,"41.9438,-87.664"
Loop,"41.8847,-87.6277"
Near South Side,"41.8672,-87.626"
Near South Side,"41.8661,-87.6073"
,"41.903,-87.6313"
Loop,"41.8706,-87.6257"
,"41.8926,-87.6145"
Logan Square,"41.9178,-87.6914"
Loop,"41.875,-87.6331"
Lincoln Park,"41.9218,-87.6441"
Near West Side,"41.8746,-87.657"
Near West Side,"41.8722,-87.6615"
Lincoln Park,"41.9117,-87.6268"
West Town,"41.8946,-87.6535"
Edgewater,"41.984,-87.6523"
Lincoln Park,"41.9121,-87.6347"
Lake View,"41.9507,-87.6593"
West Town,"41.9094,-87.6777"
,"41.8945,-87.6178"
Lincoln Park,"41.9259,-87.6493"
Near North Side,"41.8947,-87.6384"
Lincoln Park,"41.9263,-87.6308"
Lake View,"41.9377,-87.6442"
Loop,"41.8821,-87.6251"
Uptown,"41.9716,-87.6502"
,"41.903,-87.6313"
South Lawndale,"41.8538,-87.6957"
West Town,"41.8946,-87.6535"
Near West Side,"41.8759,-87.6406"
Loop,"41.8777,-87.632"
