suburb,point
Lake View,"41.9495,-87.6465"
Hyde Park,"41.7915,-87.5999"
Near West Side,"41.8793,-87.6399"
,"41.9078,-87.6317"
,"41.9064,-87.6267"
Near West Side,"41.8834,-87.6412"
Near North Side,"41.8974,-87.6431"
Near West Side,"41.873,-87.6691"
Lake View,"41.9455,-87.6464"
West Town,"41.8966,-87.6611"
Lincoln Square,"41.9692,-87.6743"
Loop,"41.8841,-87.6201"
West Town,"41.8887,-87.6445"
,"41.9023,-87.6277"
,"41.8947,-87.6344"
Lake View,"41.9437,-87.649"
,"41.9434,-87.6795"
West Town,"41.9034,-87.6678"
Lake View,"41.9407,-87.6392"
Near North Side,"41.8918,-87.6206"
Loop,"41.8721,-87.6296"
Lincoln Park,"41.9117,-87.6269"
Near South Side,"41.8672,-87.626"
Lake View,"41.9363,-87.6527"
Lincoln Park,"41.9291,-87.6491"
West Town,"41.8955,-87.682"
Near West Side,"41.8695,-87.6555"
Lower West Side,"41.858,-87.6408"
Near West Side,"41.8841,-87.654"
Near South Side,"41.8641,-87.6242"
Lincoln Park,"41.9295,-87.6433"
Lincoln Park,"41.9263,-87.6308"
Near West Side,"41.8855,-87.6523"
Near West Side,"41.8783,-87.6439"
Loop,"41.881,-87.6241"
Lincoln Park,"41.9295,-87.6431"
,"41.8568,-87.6339"
Lake View,"41.9542,-87.6544"
Lake View,"41.9367,-87.6368"
Near West Side,"41.8804,-87.6555"
Lincoln Park,"41.9117,-87.6268"
Lower West Side,"41.8539,-87.6833"
Hyde Park,"41.7996,-87.5948"
Lincoln Square,"41.9756,-87.6795"
Loop,"41.887,-87.6128"
Lake View,"41.9495,-87.6465"
Lake View,"41.9331,-87.6477"
Lincoln Park,"41.9323,-87.6527"
,"41.8944,-87.6227"
Edgewater,"41.9897,-87.6601"
Loop,"41.8794,-87.6298"
,"41.89,-87.6366"
Loop,"41.8908,-87.6186"
Loop,"41.881,-87.6167"
Loop,"41.8847,-87.6277"
,"41.9029,-87.6315"
Lincoln Park,"41.9117,-87.6268"
Loop,"41.886,-87.6241"
Loop,"41.8782,-87.6319"
,"41.9107,-87.6494"
,"41.901,-87.6238"
Edgewater,"41.984,-87.6603"
Loop,"41.8794,-87.6252"
Loop,"41.8803,-87.6352"
,"41.8945,-87.6178"
Hyde Park,"41.7995,-87.5864"
Lincoln Park,"41.9315,-87.6444"
Near West Side,"41.8819,-87.6488"
Loop,"41.875,-87.6331"
Near North Side,"41.8947,-87.6384"
Loop,"41.8827,-87.6325"
Loop,"41.881,-87.6167"
Near West Side,"41.8654,-87.6665"
Near West Side,"41.8804,-87.6555"
Loop,"41.881,-87.6167"
Lincoln Park,"41.9312,-87.6443"
Near North Side,"41.8952,-87.6231"
Near West Side,"41.8804,-87.6555"
Uptown,"41.9658,-87.6454"
Hyde Park,"41.8026,-87.5904"
,"41.8999,-87.6344"
Uptown,"41.9584,-87.6497"
Near West Side,"41.8836,-87.6412"
Loop,"41.8827,-87.6325"
Near West Side,"41.8884,-87.6444"
Loop,"41.8839,-87.6298"
Lake View,"41.9445,-87.6547"
Lincoln Square,"41.9691,-87.6742"
Lincoln Park,"41.9199,-87.6488"
Near West Side,"41.8793,-87.6399"
Lower West Side,"41.8583,-87.6564"
Loop,"41.8827,-87.6325"
Loop,"41.887,-87.6128"
West Town,"41.9071,-87.6672"
Near West Side,"41.8777,-87.6548"
Loop,"41.8791,-87.6274"
,"42.0397,-87.6994"
West Town,"41.8886,-87.6445"
,"41.9068,-87.6351"
Lake View,"41.9365,-87.6475"
Uptown,"41.9584,-87.6552"
Near West Side,"41.872,-87.6511"
Lincoln Park,"41.9287,-87.6539"
West Ridge,"42.0189,-87.69"
Loop,"41.8846,-87.6319"
Near West Side,"41.8866,-87.658"
West Town,"41.8964,-87.661"
Lincoln Park,"41.9158,-87.6346"
Near West Side,"41.8821,-87.6398"
Lincoln Park,"41.9259,-87.6493"
Logan Square,"41.9201,-87.6779"
West Garfield Park,"41.8859,-87.7354"
Near West Side,"41.8722,-87.6615"
Lincoln Park,"41.9259,-87.639"
Near South Side,"41.8672,-87.6259"
Loop,"41.881,-87.6241"
Near West Side,"41.8743,-87.6396"
Lincoln Park,"41.9295,-87.6431"
Lake View,"41.9367,-87.6368"
Lincoln Park,"41.9239,-87.6358"
Lincoln Park,"41.9262,-87.631"
Lake View,"41.9437,-87.6489"
Near West Side,"41.8855,-87.6523"
Near South Side,"41.8563,-87.6134"
Lincoln Park,"41.9032,-87.6343"
Lincoln Park,"41.9312,-87.6443"
Lake View,"41.9446,-87.6548"
Near West Side,"41.8777,-87.6548"
Lincoln Park,"41.9184,-87.6522"
Loop,"41.881,-87.6167"
West Town,"41.9126,-87.6814"
Lincoln Park,"41.9257,-87.6537"
Loop,"41.8772,-87.6278"
Hyde Park,"41.8026,-87.5904"
Near North Side,"41.8986,-87.6219"
Near West Side,"41.869,-87.6591"
Lincoln Park,"41.9296,-87.6432"
Logan Square,"41.9146,-87.668"
Loop,"41.8857,-87.6245"
North Lawndale,"41.8665,-87.7065"
Lincoln Park,"41.9114,-87.6387"
West Town,"41.9071,-87.6672"
Lake View,"41.9376,-87.6441"
Lincoln Park,"41.9323,-87.6586"
Near North Side,"41.8964,-87.6358"
Lincoln Square,"41.9749,-87.6927"
,"41.901,-87.6238"
Near West Side,"41.8837,-87.6487"
Near North Side,"41.8918,-87.6206"
Near West Side,"41.873,-87.6691"
,"41.9106,-87.6494"
Loop,"41.8721,-87.6296"
Lincoln Park,"41.9032,-87.6343"
Rogers Park,"42.0044,-87.6724"
Lake View,"41.9403,-87.653"
Lake View,"41.9494,-87.6545"
,"41.8882,-87.6364"
Lincoln Park,"41.9317,-87.6775"
Lincoln Park,"41.9292,-87.649"
Lake View,"41.9544,-87.648"
Lincoln Park,"41.9253,-87.6658"
Near West Side,"41.8652,-87.6665"
Lincoln Park,"41.9218,-87.6441"
,"41.8915,-87.6268"
Armour Square,"41.8345,-87.6318"
,"41.8892,-87.6385"
Near West Side,"41.8776,-87.6739"
West Town,"41.9033,-87.6784"
Near West Side,"41.8831,-87.657"
Loop,"41.8847,-87.6195"
Near North Side,"41.8938,-87.6281"
Lincoln Park,"41.9287,-87.6538"
West Town,"41.9029,-87.6873"
Edgewater,"41.9948,-87.6603"
Lake View,"41.9494,-87.6545"
Uptown,"41.9585,-87.6496"
West Town,"41.9035,-87.668"
,"41.8926,-87.6145"
,"41.9023,-87.6277"
Near West Side,"41.8818,-87.6479"
,"41.9097,-87.6481"
Near West Side,"41.8783,-87.6406"
,"41.9046,-87.6406"
West Town,"41.8914,-87.6485"
Loop,"41.8726,-87.6335"
Loop,"41.8848,-87.6323"
Lincoln Park,"41.9256,-87.6537"
Near West Side,"41.8841,-87.6568"
Loop,"41.884,-87.6247"
Near North Side,"41.8944,-87.6221"
Lincoln Park,"41.9183,-87.6363"
West Town,"41.8887,-87.6445"
,"41.9072,-87.6556"
Uptown,"41.9716,-87.6502"
Hyde Park,"41.7887,-87.6013"
Loop,"41.8721,-87.6296"
Lake View,"41.9365,-87.6475"
Near South Side,"41.8604,-87.6258"
Lincoln Park,"41.9182,-87.6569"
Lake View,"41.9447,-87.6549"
West Town,"41.9104,-87.6701"
West Town,"41.9126,-87.6814"
Near West Side,"41.873,-87.6691"
Near West Side,"41.8777,-87.6548"
Loop,"41.8864,-87.6175"
Edgewater,"41.978,-87.668"
,"41.9359,-87.6785"
West Town,"41.9013,-87.6774"
Lake View,"41.9402,-87.653"
,"41.8899,-87.6343"
Lake View,"41.954,-87.6543"
Uptown,"41.9584,-87.6496"
Lincoln Park,"41.9105,-87.6531"
Lake View,"41.9402,-87.653"
Loop,"41.8792,-87.6363"
,"41.9009,-87.6233"
Lincoln Park,"41.9181,-87.6437"
Near West Side,"41.8793,-87.6399"
Lower West Side,"41.8576,-87.6614"
,"41.8899,-87.638"
Near West Side,"41.8804,-87.6555"
Loop,"41.886,-87.6309"
,"41.9068,-87.626"
West Town,"41.8992,-87.6722"
West Town,"41.9007,-87.6626"
Lake View,"41.9495,-87.6465"
Lincoln Park,"41.9215,-87.6538"
Logan Square,"41.9177,-87.6914"
Near West Side,"41.8844,-87.6483"
,"41.8969,-87.6217"
Uptown,"41.9688,-87.6577"
West Pullman,"41.6849,-87.6453"
Lake View,"41.9542,-87.6544"
Near South Side,"41.8578,-87.6246"
Lincoln Park,"41.9113,-87.6387"
Near West Side,"41.8665,-87.6847"
Loop,"41.8803,-87.6352"
Near North Side,"41.891,-87.6355"
Uptown,"41.9579,-87.6495"
Lincoln Park,"41.9183,-87.6363"
Near South Side,"41.8604,-87.6258"
Lincoln Park,"41.9259,-87.639"
,"41.9025,-87.6275"
Lincoln Park,"41.9322,-87.6586"
,"41.8898,-87.6383"
Lincoln Park,"41.9324,-87.6527"
Lake View,"41.9394,-87.6684"
Lake View,"41.9376,-87.6441"
West Town,"41.9077,-87.6726"
Uptown,"41.9652,-87.6581"
Uptown,"41.9615,-87.6547"
Loop,"41.884,-87.6247"
Lincoln Park,"41.9312,-87.6443"
,"41.8945,-87.6178"
Loop,"41.887,-87.6128"
Loop,"41.8726,-87.6335"
Loop,"41.8843,-87.6282"
Loop,"41.8813,-87.6295"
West Town,"41.8958,-87.6772"
Near South Side,"41.8672,-87.626"
Lincoln Park,"41.9259,-87.6492"
West Town,"41.9105,-87.6896"
Loop,"41.8726,-87.6335"
Edgewater,"41.9783,-87.6598"
Lake View,"41.9401,-87.6453"
Lincoln Park,"41.9292,-87.6494"
Lincoln Park,"41.9291,-87.6491"
,"41.9488,-87.6753"
Lincoln Park,"41.9259,-87.639"
Uptown,"41.9586,-87.6551"
Loop,"41.8862,-87.6356"
Near North Side,"41.8978,-87.6429"
Lake View,"41.9395,-87.6637"
West Town,"41.9104,-87.6972"
,"41.9097,-87.6481"
Loop,"41.8846,-87.6319"
Loop,"41.881,-87.6241"
Near West Side,"41.8718,-87.6466"
,"41.8882,-87.6364"
,"41.8905,-87.6378"
West Town,"41.8921,-87.6894"
,"41.903,-87.6313"
,"41.8969,-87.6217"
Lake View,"41.9491,-87.6486"
Lake View,"41.9408,-87.6392"
West Town,"41.8887,-87.6445"
Loop,"41.8813,-87.6295"
